DBUID,24hr_trip_count_August_2018
35202482001,793
35202483001,793
35202483005,558
35202483006,558
35202483008,793
35202483009,558
35202627002,852
35202627004,821
35202627005,821
35202627006,366
35202627007,821
35202627010,821
35202627011,821
35202627012,821
35202628001,742
35202628003,366
35202628004,821
35202628005,742
35202628006,821
35203350004,881
35203350005,881
35203351001,444
35203351002,881
35203351003,881
35203351004,881
35203352001,881
35203353001,444
35203353002,880
35203452008,3773
35203452009,3773
35203458001,1823
35203458002,1807
35203458003,1807
35203458004,1807
35203458005,1807
35203461002,828
35203461003,368
35203462001,1152
35203462002,368
35203462003,1448
35203463001,1823
35203463002,1340
35203465002,621
35203465003,408
35203465004,621
35203465005,3773
35203579001,645
35203579002,1102
35203579003,645
35203579004,645
35203579005,1112
35203580001,1182
35203580002,858
35203586006,155
35203587002,270
35201641006,548
35201641007,573
35201647001,335
35201647002,335
35201647003,548
35201647004,548
35201653001,612
35201735001,305
35201736005,305
35201737002,305
35201738001,443
35201738002,374
35201738003,335
35201740003,264
35201740004,264
35201740005,264
35201741001,138
35201741002,317
35201741003,138
35201744004,229
35201744005,433
35201852004,559
35201852005,911
35201853001,470
35201854001,1484
35201855001,1484
35201855002,1484
35201858003,1065
35201987001,41
35201988001,611
35201989001,741
35201992001,992
35201992002,992
35201993001,992
35201993002,992
35201996001,1081
35201996002,1104
35201997001,879
35201997002,879
35201998001,552
35202098057,992
35202098058,824
35202098059,95
35202098060,824
35202100001,496
35202100002,587
35202103001,321
35202103004,1002
35202183002,237
35202183003,263
35202183004,263
35202183005,263
35202183006,263
35202184001,263
35202184002,263
35202184003,263
35202185001,263
35202186001,214
35202186002,263
35202186003,214
35202186005,936
35202186006,263
35202211002,1307
35202211003,1177
35202363015,836
35202364001,2517
35202364002,909
35202364003,843
35202364007,1016
35202364009,843
35202365001,1016
35202365002,478
35202365003,811
35202365004,478
35202365005,478
35202365006,478
35202366001,305
35202366002,391
35202369002,1274
35202369003,1274
35202370001,1274
35202370002,1274
35202371001,2295
35202371002,2295
35202371003,2295
35202372001,2253
35202372002,2253
35202372003,2253
35202480001,938
35202480002,1201
35202481002,938
35202481004,1328
35203027003,1001
35203028001,1001
35203028002,1062
35203029001,618
35203029002,1001
35203614002,502
35203614003,502
35203615001,1760
35203615002,502
35203615003,1671
35203616001,1872
35201692010,536
35201693002,431
35201693003,871
35201784001,710
35201784002,710
35201785001,432
35201785002,432
35201785003,432
35201786001,710
35201786002,521
35201786003,805
35201786004,337
35201786005,498
35201787001,1056
35201787002,808
35201787003,710
35201787004,1145
35201907002,716
35201908001,576
35201908002,576
35201908003,576
35201908004,576
35201909001,0
35201909002,0
35201909003,0
35201912001,553
35202024003,282
35202025001,350
35202285007,1497
35202285008,1225
35202286001,1375
35202415005,687
35202416001,2185
35202416002,2185
35202416003,2185
35202416004,839
35202416005,2185
35202416006,962
35202416007,687
35202417001,758
35202417002,2185
35202417003,687
35202417004,687
35202417005,687
35202417006,687
35202569003,716
35202570001,0
35202570002,0
35202570003,138
35202570004,138
35202570005,935
35202700009,625
35202701003,625
35202701005,625
35203030001,1001
35203030002,618
35203030003,618
35203031001,572
35203154003,1578
35203154004,1578
35203154005,1578
35203156001,1382
35203157004,2051
35203157008,1479
35203157011,2303
35203157012,2315
35203157013,1002
35203157014,1010
35203157015,1010
35203157016,1010
35203157017,995
35203157018,1010
35203157019,1010
35203157020,1246
35203616002,1694
35203616003,1872
35203616004,1872
35203617001,1694
35203618004,1694
35203619001,1123
35201692002,871
35201692003,639
35201692004,524
35201692005,536
35201692006,871
35201692007,398
35201692009,536
35203620010,790
35203621001,627
35201693004,871
35201693005,871
35201693006,464
35201693007,524
35201693008,431
35201693009,431
35201693010,431
35201693011,431
35201693017,431
35201693018,431
35201693019,431
